song_base,source,variant,ref_len,hyp_len,wer,cer,lev_dist_chars,rougeL_f1,uni_prec,uni_rec,uni_f1
Carolina-Deslandes---A-Vida-Toda-whisperx-large-v2-None,whisperx,,374,375,0.037433,0.016724,29,0.971963,0.976000,0.978610,0.977303
Carolina-Deslandes---A-Vida-Toda-whisperx-large-v3-turbo-15,whisperx,,374,366,0.053476,0.023645,41,0.962162,0.975410,0.954545,0.964865
Carolina-Deslandes---A-Vida-Toda-whisperx-large-v3-turbo-None,whisperx,,374,376,0.042781,0.016724,29,0.968000,0.970745,0.975936,0.973333
Carolina-Deslandes---A-Vida-Toda_large-v2,whisperx,15,374,365,0.064171,0.029988,52,0.955345,0.972603,0.949198,0.960758
Carolina-Deslandes---A-Vida-Toda_large-v2,whisperx,None,374,375,0.037433,0.016724,29,0.971963,0.976000,0.978610,0.977303
Carolina-Deslandes---A-Vida-Toda_large-v3-turbo,whisperx,15,374,366,0.053476,0.023645,41,0.962162,0.975410,0.954545,0.964865
Carolina-Deslandes---A-Vida-Toda_large-v3-turbo,whisperx,None,374,376,0.042781,0.016724,29,0.968000,0.970745,0.975936,0.973333
Chris-Stapleton---Nashville-Tennessee,whisper_openai,large-v2,266,272,0.041353,0.035772,44,0.970260,0.959559,0.981203,0.970260
Chris-Stapleton---Nashville-Tennessee,whisper_openai,large-v3,266,309,0.248120,0.238211,293,0.869565,0.812298,0.943609,0.873043
Chris-Stapleton---Nashville-Tennessee,whisper_timestamped,large-v2,266,182,0.353383,0.340650,419,0.776786,0.972527,0.665414,0.790179
Chris-Stapleton---Nashville-Tennessee,whisper_timestamped,large-v3,266,281,0.093985,0.074797,92,0.943327,0.918149,0.969925,0.943327
Chris-Stapleton---Nashville-Tennessee,whisper_timestamped,small,266,280,0.191729,0.128455,158,0.857143,0.842857,0.887218,0.864469
Chris-Stapleton---Nashville-Tennessee_large-v2,whisperx,15,266,262,0.045113,0.026829,33,0.962121,0.980916,0.966165,0.973485
Chris-Stapleton---Nashville-Tennessee_large-v2,whisperx,None,266,267,0.030075,0.015447,19,0.975610,0.977528,0.981203,0.979362
Chris-Stapleton---Nashville-Tennessee_large-v3-turbo,whisperx,15,266,261,0.063910,0.052033,64,0.944972,0.957854,0.939850,0.948767
Chris-Stapleton---Nashville-Tennessee_large-v3-turbo,whisperx,None,266,266,0.048872,0.033333,41,0.954887,0.954887,0.954887,0.954887
Creedence-Clearwater-Revival---Bad-Moon-Rising,whisper_openai,large-v2,145,146,0.213793,0.122363,87,0.810997,0.821918,0.827586,0.824742
Creedence-Clearwater-Revival---Bad-Moon-Rising,whisper_openai,large-v3,145,218,0.758621,0.599156,426,0.611570,0.522936,0.786207,0.628099
Creedence-Clearwater-Revival---Bad-Moon-Rising,whisper_timestamped,large-v2,145,96,0.531034,0.437412,311,0.572614,0.781250,0.517241,0.622407
Creedence-Clearwater-Revival---Bad-Moon-Rising,whisper_timestamped,large-v3,145,232,0.848276,0.849508,604,0.625995,0.512931,0.820690,0.631300
Creedence-Clearwater-Revival---Bad-Moon-Rising,whisper_timestamped,small,145,143,0.262069,0.164557,117,0.770833,0.790210,0.779310,0.784722
Creedence-Clearwater-Revival---Bad-Moon-Rising_large-v2,whisperx,15,145,146,0.186207,0.101266,72,0.831615,0.849315,0.855172,0.852234
Creedence-Clearwater-Revival---Bad-Moon-Rising_large-v2,whisperx,None,145,143,0.165517,0.088608,63,0.854167,0.881119,0.868966,0.875000
Creedence-Clearwater-Revival---Bad-Moon-Rising_large-v3-turbo,whisperx,15,145,147,0.220690,0.127989,91,0.801370,0.809524,0.820690,0.815068
Creedence-Clearwater-Revival---Bad-Moon-Rising_large-v3-turbo,whisperx,None,145,147,0.213793,0.132208,94,0.808219,0.809524,0.820690,0.815068
Diego-Lorenzini---Romance-Del-Enamorado-Y-La-Muerte,whisper_openai,large-v2,191,189,0.078534,0.038703,37,0.931579,0.941799,0.931937,0.936842
Diego-Lorenzini---Romance-Del-Enamorado-Y-La-Muerte,whisper_openai,large-v3,191,239,0.293194,0.220711,211,0.851163,0.774059,0.968586,0.860465
Diego-Lorenzini---Romance-Del-Enamorado-Y-La-Muerte,whisper_timestamped,large-v2,191,180,0.162304,0.105649,101,0.873315,0.916667,0.863874,0.889488
Diego-Lorenzini---Romance-Del-Enamorado-Y-La-Muerte,whisper_timestamped,large-v3,191,260,0.607330,0.728033,696,0.718404,0.626923,0.853403,0.722838
Diego-Lorenzini---Romance-Del-Enamorado-Y-La-Muerte,whisper_timestamped,small,191,177,0.193717,0.120293,115,0.847826,0.892655,0.827225,0.858696
Diego-Lorenzini---Romance-Del-Enamorado-Y-La-Muerte_large-v2,whisperx,15,191,191,0.020942,0.007322,7,0.979058,0.979058,0.979058,0.979058
Diego-Lorenzini---Romance-Del-Enamorado-Y-La-Muerte_large-v2,whisperx,None,191,191,0.015707,0.005230,5,0.984293,0.984293,0.984293,0.984293
Diego-Lorenzini---Romance-Del-Enamorado-Y-La-Muerte_large-v3-turbo,whisperx,15,191,191,0.041885,0.011506,11,0.958115,0.958115,0.958115,0.958115
Diego-Lorenzini---Romance-Del-Enamorado-Y-La-Muerte_large-v3-turbo,whisperx,None,191,190,0.036649,0.008368,8,0.965879,0.968421,0.963351,0.965879
Donald-Lawrence---Healed,whisper_openai,large-v2,251,620,1.661355,1.453416,1872,0.470723,0.370968,0.916335,0.528129
Donald-Lawrence---Healed,whisper_openai,large-v3,251,614,1.729084,1.416149,1824,0.420809,0.319218,0.780876,0.453179
Donald-Lawrence---Healed,whisper_timestamped,large-v2,251,306,0.741036,0.538043,693,0.509874,0.552288,0.673307,0.606822
Donald-Lawrence---Healed,whisper_timestamped,large-v3,251,517,1.478088,1.099379,1416,0.393229,0.340426,0.701195,0.458333
Donald-Lawrence---Healed,whisper_timestamped,small,251,489,1.498008,1.107919,1427,0.340541,0.304703,0.593625,0.402703
Donald-Lawrence---Healed_large-v2,whisperx,15,251,350,1.023904,0.762422,982,0.405990,0.485714,0.677291,0.565724
Donald-Lawrence---Healed_large-v2,whisperx,None,251,370,1.115538,0.856366,1103,0.399356,0.448649,0.661355,0.534622
Donald-Lawrence---Healed_large-v3-turbo,whisperx,15,251,370,1.123506,0.854037,1100,0.399356,0.451351,0.665339,0.537842
Donald-Lawrence---Healed_large-v3-turbo,whisperx,None,251,421,1.207171,0.944099,1216,0.413690,0.429929,0.721116,0.538690
Franz-Ferdinand---Take-Me-Out,whisper_openai,large-v2,232,230,0.146552,0.107538,107,0.900433,0.926087,0.918103,0.922078
Franz-Ferdinand---Take-Me-Out,whisper_openai,large-v3,232,256,0.215517,0.181910,181,0.868852,0.832031,0.918103,0.872951
Franz-Ferdinand---Take-Me-Out,whisper_timestamped,large-v2,232,221,0.724138,0.511558,509,0.322296,0.348416,0.331897,0.339956
Franz-Ferdinand---Take-Me-Out,whisper_timestamped,large-v3,232,179,0.452586,0.340704,339,0.686131,0.854749,0.659483,0.744526
Franz-Ferdinand---Take-Me-Out,whisper_timestamped,small,232,169,0.413793,0.332663,331,0.678304,0.828402,0.603448,0.698254
Franz-Ferdinand---Take-Me-Out_large-v2,whisperx,15,232,224,0.163793,0.101508,101,0.855263,0.875000,0.844828,0.859649
Franz-Ferdinand---Take-Me-Out_large-v2,whisperx,None,232,212,0.176724,0.132663,132,0.878378,0.938679,0.857759,0.896396
Franz-Ferdinand---Take-Me-Out_large-v3-turbo,whisperx,15,232,226,0.202586,0.127638,127,0.820961,0.849558,0.827586,0.838428
Franz-Ferdinand---Take-Me-Out_large-v3-turbo,whisperx,None,232,182,0.284483,0.243216,242,0.801932,0.912088,0.715517,0.801932
